tipe,pertanyaan
truth,"Apa satu hal yang paling kamu sukai dari hubungan kita saat ini?"
truth,"Sebutkan satu kebiasaan anehku yang diam-diam kamu sukai."
truth,"Kapan momen kamu merasa paling bahagia bersamaku?"
truth,"Jika bisa kembali ke satu momen dalam hubungan kita, momen apa itu dan kenapa?"
truth,"Apa lagu yang paling menggambarkan perasaanmu padaku?"
truth,"Hal apa yang paling membuatmu tertawa saat mengingatnya?"
truth,"Apa panggilan sayang rahasia yang pernah kamu berikan untukku di dalam hatimu?"
truth,"Sebutkan satu mimpi terbesarmu yang ingin kamu capai bersamaku."
truth,"Menurutmu, apa kekuatan terbesar kita sebagai pasangan?"
truth,"Apa hal pertama yang membuatmu tertarik padaku?"
truth,"Kapan terakhir kali kamu memikirkanku secara tiba-tiba? Apa yang kamu pikirkan?"
truth,"Sebutkan satu hal kecil yang aku lakukan yang bisa membuat mood-mu jadi lebih baik."
truth,"Apa satu hal yang membuatmu merasa paling aman dan terlindungi saat bersamaku?"
truth,"Apa satu hal yang membuatmu cemburu tapi kamu tidak pernah mengatakannya?"
truth,"Bagaimana kamu mendeskripsikan aku kepada teman-temanmu?"
truth,"Apa satu hal yang paling kamu rindukan saat kita tidak bersama?"
truth,"Hadiah apa yang paling berkesan yang pernah aku berikan?"
truth,"Jika kita bisa pergi ke mana saja sekarang, kamu ingin ke mana dan kenapa?"
truth,"Sebutkan satu rahasia kecil yang belum pernah kamu ceritakan padaku."
truth,"Apa satu ketakutan terbesarmu dalam hidup ini?"
truth,"Apa satu hal yang kamu harapkan aku lakukan lebih sering?"
truth,"Apa satu hal yang telah kamu pelajari tentang cinta sejak bersamaku?"
truth,"Momen apa yang membuatmu sadar bahwa kamu benar-benar jatuh cinta padaku?"
truth,"Apa satu hal tentang masa depanku yang paling membuatmu penasaran?"
truth,"Jika kita bertukar peran selama sehari, hal pertama apa yang akan kamu lakukan?"
truth,"Apa satu kebohongan yang pernah kamu katakan padaku?"
truth,"Sebutkan satu sifatku yang paling kamu kagumi."
